Age,StateProvinceCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015,January_15,February_15,March_15,April_15,November_14,December_14,Ski_Resort1_2014_2015,Ski_Resort2_2014_2015,Ski_Resort3_2014_2015,Ski_Resort4_2014_2015,Ski_Resort5_2014_2015
52,CO,10296.11,1777.06,5737.11,70,10.00,1,1019320,0.00,0.00,0.00,626.00,0.00,0.00,1990.15,7288.85,8420.85,10,6,4,1,1,1,1,1,1,4,3,7,0,0,2,0,0,4,0,12
47,CO,2693,1151.00,1939.00,10,7.56,1,1020985,540.66,0.00,0.00,0.00,0.00,0.00,1151.00,2169.16,2340.32,5,4,1,0,0,0,0,1,1,2,2,0,0,0,2,0,0,0,0,6
67,CO,7762.53,3072.91,5181.53,37,10.00,1,1029156,0.00,59.00,0.00,0.00,158.00,0.00,3869.45,7404.07,7473.07,5,5,0,0,1,1,1,1,1,6,2,6,1,0,2,0,0,17,0,0
47,CO,5165.88,1617.33,2607.88,31,10.00,1,1030901,0.00,0.00,0.00,27.00,0.00,0.00,1734.51,2819.27,3595.27,4,2,2,1,1,1,1,1,1,2,1,1,0,4,4,0,0,0,0,12
56,CO,1072.2,469.00,1072.20,10,4.44,0,1031076,0.00,0.00,0.00,0.00,69.00,0.00,469.00,1072.20,1072.20,2,2,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,3
42,CO,4156.04,499.00,1525.00,15,10.00,1,1034079,133.00,281.72,279.00,259.00,69.00,0.00,1762.00,2788.00,2867.00,10,8,2,1,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,3
46,CO,3696.68,1080.54,2361.68,20,10.00,0,1034963,149.00,0.00,0.00,0.00,0.00,0.00,3168.15,4449.29,5604.29,4,3,1,0,1,1,1,1,1,2,0,4,0,0,0,0,0,2,0,4
22,CO,6379.56,18.18,3357.56,38,0.00,1,1039777,0.00,0.00,79.00,0.00,0.00,0.00,3719.44,6390.58,8264.72,7,6,1,1,0,1,1,1,0,0,0,5,0,1,4,0,0,1,0,9
68,CO,3631.58,609.00,1545.58,5,10.00,1,1040636,531.00,138.00,0.00,0.00,0.00,0.00,609.00,1545.58,1545.58,3,3,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,2
57,CO,7891,1500.00,3492.00,18,4.84,1,1043530,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,3525.15,5051.15,2,2,0,1,1,1,1,1,1,1,0,0,0,0,2,0,0,3,0,0
59,CO,1255.11,22.47,175.11,20,0.00,1,1046054,0.00,138.00,158.00,0.00,138.00,0.00,169.47,4704.72,6043.72,6,4,2,0,0,1,0,0,0,3,5,2,0,0,0,0,0,0,0,10
31,CO,3390.75,125.80,2487.33,13,10.00,1,1046461,236.00,159.00,276.00,118.00,269.00,0.00,125.80,2487.33,2915.75,2,2,0,0,0,0,0,0,1,6,0,1,0,0,2,0,0,0,0,9
42,CO,1865.73,547.81,1676.95,10,10.00,1,1012504,0.00,0.00,0.00,177.00,0.00,0.00,547.81,1676.95,1725.95,2,2,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,3
55,CO,9092.09,157.64,3217.51,13,4.46,1,1014192,0.00,0.00,0.00,118.00,138.00,0.00,157.64,3217.51,3217.51,1,1,0,1,1,1,1,1,1,5,2,6,6,3,6,0,0,0,0,28
73,CO,1695.62,405.94,1217.62,11,10.00,1,1015062,0.00,0.00,0.00,0.00,0.00,0.00,405.94,778.62,1286.62,1,1,0,0,0,0,1,1,1,1,1,2,0,0,1,0,0,0,0,5
23,CO,1766.65,.00,983.68,4,10.00,1,1015866,0.00,0.00,0.00,0.00,0.00,0.00,0.00,983.68,1307.53,6,4,2,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,3
55,CO,3648.72,.00,2739.72,12,0.00,1,1022346,165.00,159.00,0.00,0.00,796.00,179.00,45.20,2824.04,2824.04,4,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2
