SourceSystemName,Quantity,Price,HasResortCharge,PriceInCorporateCurrency,TotalUsageDays,PurchaserCustomerId,ProductOwnerCustomerId,ProductId,CalendarDate,SeasonName,ProductPackageName,Age,City,StateProvinceCode,PostalCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,IsDeleted,ThreeYearVisitCount,SkiAbility,NearestMajorAirportCode,SkiLoyaltyIndexRating,IsWinterGuest,IsSummerGuest,FrontRangeMarket,CustomerId,ProductFamily,ProductClass,ProductType,ProductId,ProductName,SourceSystemName
POS,1,59.00,0,59.00,1,2130366,2130366,1872,2012-02-04,Winter 2011/2012,ProductPackage - 9710,67,Golden,CO,80403,59,.00,.00,False,1,NULL,DEN,0.00,True,True,1,2130366,Paid Tickets,Discount,ProductType - 78,1872,Product - 1872,POS
POS,1,89.00,0,89.00,1,1072037,1072037,1872,2013-03-14,Winter 2012/2013,ProductPackage - 9710,54,Golden,CO,80403,3890.61,104.05,1212.06,False,43,NULL,DEN,9.34,True,True,1,1072037,Paid Tickets,Discount,ProductType - 78,1872,Product - 1872,POS
POS,1,89.00,0,89.00,1,1072037,1072037,1872,2013-03-14,Winter 2012/2013,ProductPackage - 9710,54,Golden,CO,80403,3890.61,104.05,1212.06,False,43,NULL,DEN,9.34,True,True,1,1072037,Paid Tickets,Discount,ProductType - 78,1872,Product - 1872,POS
POS,1,35.00,0,35.00,1,4029461,4029461,1926,2013-02-16,Winter 2012/2013,ProductPackage - 9847,39,Golden,CO,80403,70,.00,.00,False,0,NULL,DEN,10.00,True,True,1,4029461,Paid Tickets,Discount,ProductType - 77,1926,Product - 1926,POS
POS,1,35.00,0,35.00,1,4029461,4029461,1926,2013-02-16,Winter 2012/2013,ProductPackage - 9847,39,Golden,CO,80403,70,.00,.00,False,0,NULL,DEN,10.00,True,True,1,4029461,Paid Tickets,Discount,ProductType - 77,1926,Product - 1926,POS
POS,1,999.00,1,999.00,24,1530475,1530475,2112,2014-05-28,Winter 2014/2015,ProductPackage - 10018,68,Golden,CO,80403,3113.2,10.72,2210.64,False,40,NULL,DEN,10.00,True,True,1,1530475,Paid Pass,Unrestricted,ProductType - 61,2112,Product - 2112,POS
POS,1,999.00,1,999.00,21,1530475,1531102,2112,2014-05-28,Winter 2014/2015,ProductPackage - 10018,68,Golden,CO,80403,9251.42,5419.79,7708.99,False,40,NULL,DEN,10.00,True,True,1,1531102,Paid Pass,Unrestricted,ProductType - 61,2112,Product - 2112,POS
POS,1,59.00,0,59.00,1,1945857,1945857,1872,2012-12-08,Winter 2012/2013,ProductPackage - 10047,48,Golden,CO,80403,11964.68,1473.60,5687.84,False,32,NULL,DEN,0.00,True,True,1,1945857,Paid Tickets,Discount,ProductType - 78,1872,Product - 1872,POS
POS,1,59.00,0,59.00,1,4003805,4003805,1872,2012-12-08,Winter 2012/2013,ProductPackage - 10047,45,Golden,CO,80403,3571.5,.00,140.03,False,3,NULL,DEN,0.00,True,False,1,4003805,Paid Tickets,Discount,ProductType - 78,1872,Product - 1872,POS
POS,1,1029.00,0,1029.00,12,1022620,1022620,2378,2013-03-14,Winter 2013/2014,ProductPackage - 10368,49,Golden,CO,80403,15415.39,3959.88,10670.36,False,43,NULL,DEN,10.00,True,True,1,1022620,Paid Pass,Unrestricted,ProductType - 115,2378,Product - 2378,POS
POS,1,1029.00,0,1029.00,12,1022620,1072037,2378,2013-03-14,Winter 2013/2014,ProductPackage - 10368,54,Golden,CO,80403,3890.61,104.05,1212.06,False,43,NULL,DEN,9.34,True,True,1,1072037,Paid Pass,Unrestricted,ProductType - 115,2378,Product - 2378,POS
