Age,StateProvinceCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015_x,January_15,February_15,March_15,April_15,November_14,December_14,Ski_Resort1_2014_2015,Ski_Resort2_2014_2015,Ski_Resort3_2014_2015,Ski_Resort4_2014_2015,Ski_Resort5_2014_2015,Pass_Winter_2015_y,actual_y,predicted_label,predicted_proba
53,CO,2478.62,9.81,373.62,0,10.0,1,1002085,708.0,69.0,0.0,0.0,0.0,0.0,1273.81,4778.27,4847.27,6,6,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,7,0,0,0,0.062145807
47,CO,8937.73,2356.76,7451.73,39,0.0,1,1005658,0.0,0.0,69.0,122.34,377.75,92.78,2530.15,8401.23,8959.23,6,4,2,1,1,1,1,1,1,2,2,9,0,2,0,0,0,0,0,15,1,1,1,0.97733706
65,CO,4467.24,420.0,2124.24,20,0.0,1,1000384,1161.0,0.0,69.0,159.0,0.0,0.0,420.0,2242.24,2409.24,3,3,0,1,1,1,1,1,1,0,0,3,0,0,2,0,0,3,0,2,1,1,1,0.9453024
59,CO,1452.51,394.65,1452.51,35,9.4,0,1001997,0.0,0.0,0.0,59.0,138.0,0.0,1055.11,3276.67,3276.67,4,4,0,0,0,0,1,1,1,5,6,1,0,0,1,0,0,1,0,12,1,1,1,0.6988732
48,CO,4198.0,995.47,2584.0,14,0.0,1,1002049,118.0,0.0,0.0,194.0,0.0,0.0,995.47,2584.0,2584.0,1,1,0,1,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,3,1,1,1,0.94237703
54,CO,9108.7,2207.32,6008.2,39,10.0,1,1006452,308.0,438.0,951.92,35.0,0.0,0.0,2288.89,8060.21,9332.21,5,2,3,0,0,1,1,1,1,4,2,0,0,0,1,0,0,0,0,7,1,1,1,0.9556358
34,CO,528.0,0.0,0.0,13,0.0,1,1015577,0.0,0.0,79.0,0.0,0.0,0.0,33.77,289.77,1106.77,4,3,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,3,0,0,0,0.047590043
66,CO,1380.81,478.06,1125.06,12,9.1,1,1021804,229.0,0.0,0.0,159.0,0.0,0.0,478.06,1125.06,1125.06,1,1,0,0,0,0,0,1,1,0,3,1,1,0,0,0,0,0,0,5,1,1,1,0.9351564
44,CO,4809.43,798.0,2407.4,8,10.0,1,1011182,139.0,0.0,0.0,0.0,0.0,0.0,836.39,2445.79,3424.2,4,2,2,0,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,6,1,1,1,0.87888515
45,CO,9162.24,1129.98,3756.24,16,10.0,1,1014969,279.0,178.5,762.0,118.0,69.0,0.0,1176.88,3803.14,4758.14,2,1,1,1,1,1,1,1,1,3,0,2,0,0,0,0,0,0,0,5,1,1,1,0.96408004
