Age,City,StateProvinceCode,PostalCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,IsWinterGuest,IsSummerGuest,FrontRangeMarket,Spend_Winter_2010,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,January,February,March,April,November,December,Ski_Resort1,Ski_Resort2,Ski_Resort3,Ski_Resort4,Ski_Resort5,Pass_Winter_2011
46,Longmont,CO,80504,5285.0,1093.32,3096.13,23.0,9.53,True,True,1.0,72.33,1093.32,3253.14,3322.14,4.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,1,1
31,Granby,CO,80446,1117.0,0.0,379.0,13.0,0.0,True,True,0.0,0.0,994.28,4276.36,4803.36,4.0,4.0,0.0,0,12,6,9,7,0,6,0,0,0,0,40,1
22,Colorado Springs,CO,80921,1353.98,0.0,585.98,6.0,10.0,True,True,0.0,0.0,0.0,585.98,585.98,2.0,2.0,0.0,1,1,2,0,0,0,3,0,0,0,0,6,0
47,Longmont,CO,80503,4284.12,0.0,1024.0,4.0,3.92,True,True,1.0,596.0,0.0,1093.0,1300.0,4.0,2.0,2.0,0,1,2,1,0,0,0,0,0,0,0,4,1
45,Monument,CO,80132,2935.86,0.0,725.62,11.0,10.0,True,True,0.0,59.0,900.0,2194.92,2939.92,5.0,2.0,3.0,1,1,2,1,0,0,4,0,0,0,0,8,1
30,Thornton,CO,80233,1634.2,98.0,995.2,7.0,0.0,True,True,1.0,0.0,98.0,995.2,1064.2,2.0,2.0,0.0,0,0,0,3,1,0,0,0,0,0,0,4,0
24,Steamboat Springs,CO,80487,1419.24,211.8,1222.14,24.0,10.0,True,True,0.0,0.0,211.8,1222.14,1344.61,1.0,1.0,0.0,0,6,1,3,0,4,6,0,0,0,0,20,1
31,Centennial,CO,80015,1458.43,0.0,0.0,5.0,0.0,True,True,1.0,177.0,0.0,1618.0,2061.43,3.0,3.0,0.0,0,3,0,0,0,0,0,0,0,0,0,3,1
37,Monument,CO,80132,3624.12,4395.37,2274.54,17.0,8.69,True,True,0.0,354.0,3857.15,5316.23,5316.23,3.0,2.0,1.0,1,11,1,0,0,0,0,0,0,0,0,12,0
41,Boulder,CO,80304,1921.02,1021.74,1744.02,30.0,0.0,True,True,1.0,177.0,1060.91,3279.8,3279.8,5.0,5.0,0.0,0,2,0,1,0,1,3,0,0,0,0,7,0
28,Littleton,CO,80127,694.0,0.0,0.0,0.0,0.0,True,True,1.0,59.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,3,0,0,0,0,3,1
45,Evergreen,CO,80439,3292.52,0.0,1042.31,8.0,6.33,True,True,1.0,298.0,0.0,1061.31,1300.31,4.0,2.0,2.0,1,2,1,0,0,0,0,0,0,0,0,3,1
61,Fort Collins,CO,80525,3785.56,877.16,2000.56,19.0,10.0,True,True,1.0,59.0,877.16,2000.56,2399.56,5.0,3.0,2.0,1,1,3,3,4,1,1,0,0,0,0,13,1
50,Denver,CO,80228,4772.16,221.39,379.34,50.0,0.0,True,True,1.0,0.0,2380.41,6339.93,7448.75,4.0,3.0,1.0,0,6,2,0,0,4,9,0,0,0,0,21,1
48,Broomfield,CO,80021,3940.0,519.0,1457.0,12.0,0.0,True,True,1.0,413.0,519.0,1457.0,2172.0,2.0,1.0,1.0,0,0,0,7,0,0,0,0,0,0,0,7,1
41,Boulder,CO,80303,1466.0,0.0,499.0,2.0,10.0,True,True,1.0,0.0,0.0,499.0,499.0,1.0,1.0,0.0,1,2,1,0,0,0,0,0,0,0,0,3,1
65,Pine,CO,80470,1957.58,0.0,0.0,6.0,3.33,True,True,1.0,118.0,980.0,1142.68,1340.68,2.0,2.0,0.0,0,0,0,0,0,0,2,0,0,0,0,2,1
54,Longmont,CO,80503,4256.82,469.0,1895.44,18.0,9.42,True,True,1.0,236.0,469.0,1895.44,2023.44,4.0,3.0,1.0,0,4,0,0,0,0,0,0,0,0,0,4,1
