Age,City,StateProvinceCode,PostalCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,IsDeleted,ThreeYearVisitCount,SkiAbility,NearestMajorAirportCode,SkiLoyaltyIndexRating,IsWinterGuest,IsSummerGuest,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,HouseholdIncome,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,HouseholdCreateDate,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015,January,February,March,April,November,December,Ski_Resort1,Ski_Resort2,Ski_Resort3,Ski_Resort4,Ski_Resort5
24,Johnstown,CO,80534,1265,359.00,684.00,False,9,NULL,DEN,0.00,True,True,1,1146753,354.00,69.00,158.00,118.00,207.00,0.00,838.00,2062.00,2220.00,NULL,5,5,0,2015-09-02 11:38:17.000,0,0,0,0,0,1,5,2,3,0,1,1,0,0,0,0,12
25,Englewood,CO,80155,967,.00,.00,False,0,NULL,DEN,0.00,True,True,1,1131536,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,2,2,0,2016-06-04 03:00:07.000,1,1,0,0,0,0,2,2,0,0,1,5,0,0,0,0,10
27,Lafayette,CO,80026,807.87,.00,.00,False,0,NULL,DEN,0.00,True,True,1,1366489,0.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00,69.00,NULL,3,3,0,2015-09-02 11:38:17.000,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2
35,Denver,CO,80211,1583.79,.00,240.92,False,3,NULL,DEN,0.00,True,True,1,22848684,177.00,0.00,0.00,177.00,0.00,0.00,0.00,240.92,240.92,NULL,1,1,0,2016-08-13 03:00:09.000,0,0,0,1,0,0,2,0,3,0,3,6,0,0,0,0,14
41,Broomfield,CO,80021,507,.00,.00,False,0,NULL,DEN,0.00,True,False,1,2127309,118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,1,1,0,2015-09-02 11:38:17.000,1,0,0,0,0,0,3,5,0,2,0,4,0,0,0,0,14
36,Denver,CO,80224,1962.06,420.00,1443.16,False,21,NULL,DEN,0.00,True,True,1,1567207,261.00,0.00,0.00,0.00,138.00,0.00,420.00,2703.42,2850.42,NULL,3,3,0,2016-03-25 05:00:06.000,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,3
52,Littleton,CO,80125,8016.46,1480.58,4550.14,False,20,NULL,DEN,0.00,True,True,1,2121375,0.00,102.00,878.00,0.00,0.00,0.00,1493.69,4712.64,7970.75,NULL,4,2,2,2016-04-02 05:00:08.000,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
56,Steamboat Springs,CO,80487,2640.81,198.00,401.81,False,18,NULL,DEN,0.00,True,True,0,2158727,118.00,345.00,0.00,0.00,174.00,0.00,1198.00,3797.81,5975.81,NULL,2,2,0,2016-06-02 05:00:06.000,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
48,Littleton,CO,80121,1391.06,154.06,1202.06,False,11,NULL,DEN,10.00,True,False,1,1466781,0.00,0.00,69.00,177.00,621.00,0.00,187.83,1325.16,1547.30,NULL,4,1,3,2015-09-02 11:38:17.000,0,0,1,1,1,1,0,2,0,0,2,4,0,0,0,0,8
58,Denver,CO,80218,1516,.00,.00,False,0,NULL,DEN,0.00,True,True,1,1703895,0.00,0.00,159.00,0.00,0.00,0.00,0.00,0.00,159.00,NULL,6,5,1,2015-09-02 11:38:17.000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36,Longmont,CO,80501,2628.79,398.00,836.00,False,3,NULL,DEN,10.00,True,True,1,2164727,59.00,0.00,0.00,438.00,0.00,398.00,398.00,836.00,1038.96,NULL,1,1,0,2015-09-02 11:38:17.000,1,0,1,0,0,0,3,5,0,0,1,2,0,0,0,0,11
71,Grand Lake,CO,80447,438,.00,.00,False,0,NULL,DEN,10.00,True,True,0,1302370,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,4,4,0,2015-09-02 11:38:17.000,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3
